135,Sex,Fred Niblo,87,Drama
136,Something to Think About,Cecil B. DeMille,78,Drama
137,Suds,John Francis Dillon,75,"Comedy, Drama, Romance"
138,Terror Island,James Cruze,55,Mystery
139,The Toll Gate,Lambert Hillyer,73,"Adventure, Drama, Western"
140,Agonia sui ghiacci,D.W. Griffith,145,"Drama, Romance"
141,Why Change Your Wife?,Cecil B. DeMille,90,"Comedy, Drama"
142,Within Our Gates,Oscar Micheaux,79,"Drama, Romance"
143,The Ace of Hearts,Wallace Worsley,75,"Crime, Drama, Mystery"
144,Adventures of Tarzan,"Robert F. Hill, Scott Sidney",73,"Action, Adventure"
145,Be My Wife,Max Linder,55,Comedy
146,The Blot,Lois Weber,91,"Drama, Romance"
147,Buried Treasure,George D. Baker,70,"Adventure, Fantasy, Romance"
148,Camille,Ray C. Smallwood,72,"Drama, Romance"
149,La commedia umana,Rex Ingram,89,"Drama, Romance"
150,Dream Street,D.W. Griffith,102,"Comedy, Drama, Romance"
151,Ducks and Drakes,Maurice Campbell,58,"Comedy, Romance"
152,Enchantment,Robert G. Vignola,90,Comedy
153,Forbidden Fruit,Cecil B. DeMille,87,Drama
154,I quattro cavalieri dell'Apocalisse,Rex Ingram,150,"Drama, Romance, War"
155,Il monello,Charles Chaplin,68,"Comedy, Drama, Family"
156,Leap Year,"James Cruze, Roscoe 'Fatty' Arbuckle",56,Comedy
157,Little Lord Fauntleroy,"Alfred E. Green, Jack Pickford",112,Drama
158,The Love Light,Frances Marion,89,Drama
159,Miss Lulu Bett,William C. de Mille,71,"Comedy, Drama"
160,My Boy,"Albert Austin, Victor Heerman",55,"Comedy, Drama"
161,The Nut,Theodore Reed,74,"Action, Comedy, Romance"
162,Le due orfanelle,D.W. Griffith,150,"Drama, History, Romance"
163,Outside the Law,Tod Browning,75,"Crime, Romance, Thriller"
164,A Sailor-Made Man,Fred C. Newmeyer,47,Comedy
165,Lo sceicco,George Melford,86,"Adventure, Drama, Romance"
166,The Sky Pilot,King Vidor,77,Drama
167,The Three Musketeers,Fred Niblo,119,"Action, Adventure, Romance"
168,Through the Back Door,"Alfred E. Green, Jack Pickford",89,"Comedy, Drama"
169,La pazienza di Davide,Henry King,99,Drama
170,Too Wise Wives,Lois Weber,80,Drama
171,Beauty's Worth,Robert G. Vignola,112,"Drama, Romance"
172,Sangue e arena,"Fred Niblo, Dorothy Arzner",80,"Drama, Romance, Sport"
173,The Bride's Play,George Terwilliger,70,Romance
174,Dr. Jack,"Fred C. Newmeyer, Sam Taylor",60,"Comedy, Romance"
175,Down to the Sea in Ships,Elmer Clifton,83,"Adventure, Drama, Romance"
176,Flesh and Blood,Irving Cummings,74,Drama
177,Femmine folli,Erich von Stroheim,117,"Drama, Thriller"
178,Il talismano della nonna,Fred C. Newmeyer,60,"Comedy, Family"
179,The Headless Horseman,Edward D. Venturini,68,"Comedy, Drama, Horror"
180,Lorna Doone,Maurice Tourneur,70,"Drama, Romance"
181,The Man from Beyond,Burton L. King,74,Mystery
182,Manslaughter,Cecil B. DeMille,100,Drama
183,Donne viennesi,"Rupert Julian, Erich von Stroheim",110,Drama
184,Monte Cristo,Emmett J. Flynn,100,"Drama, Romance"
185,Moran of the Lady Letty,George Melford,68,Adventure
186,Oliver Twist,Frank Lloyd,98,Drama
187,The Prisoner of Zenda,Rex Ingram,125,"Adventure, Romance"
188,Robin Hood,Allan Dwan,143,"Adventure, Family, Romance"
189,Saturday Night,Cecil B. DeMille,90,"Comedy, Romance"
190,The Seventh Day,Henry King,60,"Drama, Romance"
191,Shadows,Tom Forman,70,Drama
192,Sherlock Holmes,Albert Parker,85,"Drama, Mystery"
193,Sky High,Lynn Reynolds,58,"Action, Drama, Romance"
194,Tess of the Storm Country,John S. Robertson,137,"Drama, Romance"
195,The Three Must-Get-Theres,Max Linder,58,"Action, Adventure, Comedy"
196,The Toll of the Sea,Chester M. Franklin,54,"Drama, Family, Fantasy"
197,The Trap,Robert Thornby,60,Drama
198,When Knighthood Was in Flower,Robert G. Vignola,120,"Romance, Drama"
199,The Young Rajah,Phil Rosen,54,"Romance, Drama"
200,Ladro d'amore,John Ford,70,Drama
201,I pionieri,James Cruze,98,"Adventure, Romance, Western"
202,The Extra Girl,F. Richard Jones,68,"Comedy, Romance"
203,Haldane of the Secret Service,Harry Houdini,84,"Adventure, Crime, Drama"
204,Il gobbo di Notre Dame,Wallace Worsley,133,"Drama, Horror, Romance"
205,Little Old New York,Sidney Olcott,110,"Comedy, Romance"
206,Il pellegrino,Charles Chaplin,47,Comedy
207,Rosita,"Ernst Lubitsch, Raoul Walsh",99,"Romance, Comedy"
208,Preferisco l'ascensore,"Fred C. Newmeyer, Sam Taylor",74,"Action, Comedy, Thriller"
209,Scaramouche,Rex Ingram,124,"Drama, Romance"
210,The Shock,Lambert Hillyer,96,Drama
211,Souls for Sale,Rupert Hughes,90,"Comedy, Drama, Romance"
212,I dieci comandamenti,Cecil B. DeMille,136,"Biography, Drama, Fantasy"
213,"Senti, amore mio","Edward F. Cline, Buster Keaton",63,Comedy
214,The White Rose,D.W. Griffith,100,"Drama, Romance"
215,La suora bianca,Henry King,143,"Drama, Romance"
216,White Tiger,Tod Browning,86,"Crime, Drama, Mystery"
217,La donna di Parigi,Charles Chaplin,82,"Drama, Romance"
218,Zaza,Allan Dwan,84,"Romance, Drama"
219,America,D.W. Griffith,141,"Drama, History, War"
220,Beau Brummel,Harry Beaumont,135,"Drama, History, Romance"
221,Black Oxen,Frank Lloyd,80,"Drama, Romance, Sci-Fi"
222,Captain January,Edward F. Cline,64,Drama
223,The Chechahcos,Lewis H. Moomaw,87,"Adventure, Drama"
224,Dante's Inferno,Henry Otto,60,"Drama, Horror, Romance"
225,Dorothy Vernon of Haddon Hall,"Marshall Neilan, Mary Pickford",135,"Drama, History, Romance"
226,The Enchanted Cottage,John S. Robertson,70,Drama
227,The Family Secret,William A. Seiter,70,Drama
228,La zarina,Ernst Lubitsch,69,Comedy
229,Tutte e nessuna,"Fred C. Newmeyer, Sam Taylor",87,"Comedy, Romance"
230,Her Night of Romance,Sidney Franklin,70,"Comedy, Romance"
231,Il re degli scapoli,"Fred C. Newmeyer, Sam Taylor",53,Comedy
232,Il cavallo d'acciaio,John Ford,150,"History, Romance, Western"
233,Isn't Life Wonderful,D.W. Griffith,115,"Drama, Romance"
234,Janice Meredith,E. Mason Hopper,153,"Drama, History, Romance"
235,Manhandled,Allan Dwan,75,"Drama, Comedy"
236,Matrimonio in quattro,Ernst Lubitsch,85,Comedy
237,Monsieur Beaucaire,Sidney Olcott,106,"Drama, Romance"
238,Il navigatore,"Donald Crisp, Buster Keaton",59,"Action, Comedy, Romance"
239,Open All Night,Paul Bern,64,Comedy
240,Peter Pan,Herbert Brenon,105,"Adventure, Fantasy, Family"
241,The Red Lily,Fred Niblo,81,Drama
242,Romola,Henry King,102,"Drama, History"
243,The Sea Hawk,Frank Lloyd,123,"Adventure, Drama, Romance"
244,Secrets,Frank Borzage,108,Drama
245,Il ladro di Bagdad,Raoul Walsh,155,"Adventure, Family, Fantasy"
246,Arance selvatiche,King Vidor,88,"Drama, Romance"
247,Il vino della giovinezza,King Vidor,72,"Comedy, Drama"
248,Yolanda,Robert G. Vignola,74,Romance
249,La grande parata,"King Vidor, George W. Hill",151,"Drama, Romance, War"
250,Body and Soul,Oscar Micheaux,102,Drama
251,Braveheart,Alan Hale,71,Western
252,The Circle,Frank Borzage,71,Drama
253,Clash of the Wolves,Noel M. Smith,74,"Adventure, Romance, Western"
254,Cobra,Joseph Henabery,70,"Drama, Romance"
255,Don Q Son of Zorro,Donald Crisp,111,"Adventure, Romance"
256,Aquila nera,Clarence Brown,73,"Action, Comedy, Drama"
257,Viva lo sport,"Fred C. Newmeyer, Sam Taylor",77,"Comedy, Family, Romance"
258,Io e la vacca,Buster Keaton,69,"Comedy, Western"
259,La febbre dell'oro,Charles Chaplin,95,"Adventure, Comedy, Drama"
260,The Goose Woman,Clarence Brown,80,Drama
261,Her Sister from Paris,Sidney Franklin,70,Comedy
262,Il ventaglio di Lady Windermere,Ernst Lubitsch,120,Comedy
263,Lady of the Night,Monta Bell,70,"Drama, Romance"
264,The Lady,Frank Borzage,96,Drama
265,Lazybones,Frank Borzage,80,"Action, Comedy, Drama"
266,Lights of Old Broadway,Monta Bell,70,"Drama, Romance"
267,Little Annie Rooney,William Beaudine,94,"Drama, Comedy"
268,Il piccolo colonnello,David Butler,81,"Comedy, Family, Musical"
269,Un mondo perduto,Harry O. Hoyt,110,"Adventure, Fantasy, Thriller"
270,La vedova allegra,Erich von Stroheim,137,"Drama, Romance"
271,The Monster,Roland West,86,"Comedy, Horror, Mystery"
272,The Mystic,Tod Browning,70,Drama
273,Parisian Love,Louis J. Gasnier,70,"Crime, Drama, Romance"
274,Paths to Paradise,Clarence G. Badger,78,"Comedy, Crime, Romance"
275,Il fantasma dell'opera,"Rupert Julian, Lon Chaney",93,Horror
276,The Plastic Age,Wesley Ruggles,73,"Comedy, Romance, Sport"
277,Pretty Ladies,Monta Bell,74,"Comedy, Drama"
278,The Rag Man,Edward F. Cline,68,"Drama, Comedy"
279,The Red Kimona,"Walter Lang, Dorothy Davenport",77,"Biography, Drama, Romance"
280,Riders of the Purple Sage,Lynn Reynolds,56,"Action, Drama, Western"
281,The Road to Yesterday,Cecil B. DeMille,107,"Drama, Fantasy, Romance"
282,Zingaresca,D.W. Griffith,104,Comedy
283,"Sally, Irene and Mary",Edmund Goulding,58,"Comedy, Drama"
284,The Salvation Hunters,Josef von Sternberg,70,Drama
285,Soul-Fire,John S. Robertson,88,Drama
286,Stage Struck,Allan Dwan,70,Comedy
287,Stella Dallas,Henry King,110,Drama
288,Tumbleweeds,"King Baggot, William S. Hart",78,Western
289,Il trio infernale,Tod Browning,86,"Crime, Drama, Romance"
290,The Vanishing American,George B. Seitz,110,Western
291,Il mago di Oz,Larry Semon,81,"Comedy, Family, Fantasy"
292,Wolfblood,"George Chesebro, Bruce Mitchell",68,"Adventure, Drama, Romance"
293,A Woman of the World,Malcolm St. Clair,70,"Comedy, Drama"
294,Zander the Great,George W. Hill,80,"Action, Comedy, Drama"
295,Bardelys il magnifico,King Vidor,90,"Drama, Romance"
296,The Bat,Roland West,86,"Mystery, Thriller"
297,Se perdo la pazienza...,Buster Keaton,77,"Action, Comedy, Romance"
298,Beau Geste,Herbert Brenon,101,"Action, Adventure, Drama"
299,The Bells,James Young,68,"Crime, Drama, Horror"
300,The Better 'Ole,Charles Reisner,95,"Comedy, War, Drama"
301,Beverly of Graustark,Sidney Franklin,70,"Comedy, Romance"
302,Il pirata nero,Albert Parker,88,"Adventure, Action"
303,Il corvo,Tod Browning,86,"Crime, Drama, Romance"
304,L'aquila azzurra,John Ford,58,"Action, Drama"
305,The Boob,William A. Wellman,64,"Comedy, Romance"
306,Brown of Harvard,Jack Conway,85,"Action, Drama, Romance"
307,Dancing Mothers,Herbert Brenon,66,Drama
308,Don Juan,Alan Crosland,110,"Adventure, Romance"
309,Ella Cinders,Alfred E. Green,75,"Comedy, Romance"
310,Eve's Leaves,Paul Sloane,75,"Comedy, Romance"
311,Exit Smiling,Sam Taylor,77,"Comedy, Romance"
312,Le disgrazie di adamo,Howard Hawks,70,Comedy
313,Fine Manners,"Richard Rosson, Lewis Milestone",70,Comedy
314,La carne e il diavolo,Clarence Brown,112,"Drama, Romance"
315,Il re degli straccioni,Sam Taylor,58,"Action, Comedy, Romance"
316,The Great K & A Train Robbery,Lewis Seiler,53,Western
317,Hands Up!,Clarence G. Badger,60,"Action, Comedy, War"
318,His First Flame,Harry Edwards,48,Comedy
319,It's the Old Army Game,A. Edward Sutherland,70,"Adventure, Comedy, Romance"
320,Kid Boots,Frank Tuttle,77,"Comedy, Romance"
321,Kiki,Clarence Brown,108,Comedy
322,Love 'Em and Leave 'Em,Frank Tuttle,76,"Comedy, Drama, Romance"
323,The Magician,Rex Ingram,83,"Drama, Fantasy, Horror"
324,Mantrap,Victor Fleming,86,Comedy
325,Mare Nostrum,Rex Ingram,102,"Drama, War"
326,My Lady of Whims,Dallas M. Fitzgerald,59,Comedy
327,Old Ironsides,James Cruze,111,"Drama, History"
328,The Road to Mandalay,Tod Browning,70,Drama
329,Il mostro del mare,Millard Webb,136,"Action, Adventure, Fantasy"
330,La corsa a ostacoli di Shamrock,John Ford,66,"Romance, Drama"
331,The Show-Off,Malcolm St. Clair,82,"Comedy, Drama"
332,So's Your Old Man,Gregory La Cava,67,Comedy
333,Il figlio dello sceicco,George Fitzmaurice,68,"Adventure, Drama, Romance"
334,The Sorrows of Satan,D.W. Griffith,90,"Drama, Romance"
335,Passerotti,"William Beaudine, Tom McNamara",109,Drama
336,La grande sparata,Frank Capra,75,Comedy
337,La tentatrice,"Fred Niblo, Mauritz Stiller",62,"Drama, Romance"
338,I tre furfanti,John Ford,92,"Romance, Western"
339,Torrent,Monta Bell,88,"Drama, Romance"
340,Di corsa dietro un cuore,Harry Edwards,62,"Adventure, Comedy, Romance"
341,The Volga Boatman,Cecil B. DeMille,120,"Drama, Romance"
342,L'allievo di West Point,Edward Sedgwick,95,"Drama, Romance, Sport"
343,Gloria,Raoul Walsh,116,"Comedy, Drama, War"
344,Fiore del deserto,Henry King,89,"Drama, Romance, Western"
345,Almost Human,Frank Urson,60,"Drama, Romance"
346,Annie Laurie,John S. Robertson,90,"Drama, Romance"
347,Barbed Wire,"Rowland V. Lee, Mauritz Stiller",67,"Drama, Romance, War"
348,The Beloved Rogue,Alan Crosland,99,"Adventure, Drama, History"
349,Captain Salvation,John S. Robertson,87,"Drama, Romance"
350,Il castello degli spettri,Paul Leni,108,"Comedy, Horror, Mystery"
351,Chicago,Frank Urson,118,"Comedy, Crime, Drama"
352,I figli del divorzio,"Frank Lloyd, Josef von Sternberg",70,"Drama, Romance"
353,Tuo per sempre,"James W. Horne, Buster Keaton",66,"Comedy, Drama, Sport"
354,L'atleta innamorato,Millard Webb,62,"Drama, Sport"
355,The Fair Co-Ed,Sam Wood,71,Comedy
356,The First Auto,Roy Del Ruth,75,"Comedy, Drama"
357,The Gaucho,F. Richard Jones,115,"Adventure, Romance"
358,Come vinsi la guerra,"Clyde Bruckman, Buster Keaton",67,"Action, Adventure, Comedy"
359,Get Your Man,Dorothy Arzner,63,"Comedy, Romance"
360,Hotel Imperial,Mauritz Stiller,85,"Drama, War"
361,Hula,Victor Fleming,64,"Drama, Romance"
362,Cosetta,"Clarence G. Badger, Josef von Sternberg",72,"Comedy, Romance"
363,Il cantante di jazz,Alan Crosland,88,"Drama, Music, Musical"
364,Il fratello minore,"Ted Wilde, Harold Lloyd",82,"Comedy, Drama, Family"
365,Il re dei re,Cecil B. DeMille,160,"Biography, Drama, History"
366,Il fantasma del castello,Tod Browning,69,Horror
367,Le sue ultime mutandine,Frank Capra,60,Comedy
368,Anna Karenina,"Edmund Goulding, John Gilbert",82,"Drama, Romance"
369,The Love of Sunya,Albert Parker,78,Drama
370,"Man, Woman and Sin",Monta Bell,70,Drama
371,Mockery,Benjamin Christensen,75,"Drama, Romance"
372,Mr. Wu,William Nigh,91,"Drama, Romance"
373,My Best Girl,Sam Taylor,80,"Comedy, Romance"
374,Il re del sottosuolo,Alan Crosland,88,"Drama, History, Romance"
375,Il mio cuore aveva ragione,Alfred Santell,70,"Comedy, Romance"
376,Passione di principe,Howard Hawks,76,"Comedy, Romance"
377,Ferro e fuoco,Alfred Santell,150,"Drama, Romance, Sport"
378,Quality Street,Sidney Franklin,115,"Comedy, Drama, Romance"
379,The Red Mill,Roscoe 'Fatty' Arbuckle,74,"Comedy, Romance"
380,Running Wild,Gregory La Cava,68,Comedy
381,The Scar of Shame,Frank Peregini,68,"Crime, Drama, Romance"
382,Settimo cielo,Frank Borzage,110,"Drama, Romance"
383,A Ship Comes In,William K. Howard,70,Drama
384,The Show,Tod Browning,76,"Crime, Drama"
385,"Slide, Kelly, Slide",Edward Sedgwick,80,"Comedy, Sport"
386,Spring Fever,Edward Sedgwick,78,Comedy
387,Il principe studente,"Ernst Lubitsch, John M. Stahl",106,"Drama, Romance"
388,Aurora,F.W. Murnau,94,"Drama, Romance"
389,Tarzan and the Golden Lion,J.P. McGowan,57,"Action, Adventure"
390,Tell It to the Marines,George W. Hill,103,"Comedy, Drama, Romance"
391,Three's a Crowd,Harry Langdon,60,"Comedy, Drama"
392,Tillie the Toiler,Hobart Henley,70,"Comedy, Drama"
393,Twelve Miles Out,Jack Conway,85,Drama
394,Notte d'Arabia,Lewis Milestone,92,"Adventure, Comedy, Romance"
395,Uncle Tom's Cabin,Harry A. Pollard,144,"Drama, History"
396,Le notti di Chicago,"Josef von Sternberg, Arthur Rosson",80,"Crime, Drama, Film-Noir"
397,Lo sconosciuto,Tod Browning,63,"Drama, Horror, Romance"
398,Controcorrente,John Ford,60,"Comedy, Drama"
399,When a Man Loves,Alan Crosland,111,"History, Romance"
400,Ali,"William A. Wellman, Harry d'Abbadie d'Arrast",144,"Drama, Romance, War"
401,Winners of the Wilderness,W.S. Van Dyke,68,"Drama, History, War"
402,Amore e mare,William Nigh,85,"Drama, Romance"
403,La battaglia dei sessi,D.W. Griffith,88,Comedy
404,I mendicanti della vita,William A. Wellman,100,"Adventure, Drama"
405,Bringing Up Father,Jack Conway,70,Comedy
406,Il cameraman,"Edward Sedgwick, Buster Keaton",76,"Comedy, Drama, Family"
407,Il fidanzato di cartone,Robert Z. Leonard,50,"Comedy, Romance"
408,Il circo,Charles Chaplin,72,"Comedy, Romance"
409,I cosacchi,"George W. Hill, Clarence Brown",92,Drama
410,I dannati dell'oceano,Josef von Sternberg,76,"Crime, Drama, Film-Noir"
411,Oasi dell'amore,Howard Hawks,88,"Drama, Romance"
412,Tastatemi il polso,Gregory La Cava,63,Comedy
413,I quattro diavoli,F.W. Murnau,100,Drama
414,The Four Feathers,"Merian C. Cooper, Lothar Mendes",81,"Adventure, Drama, Romance"
415,L'ultima gioia,John Ford,100,"Drama, War"
416,Quattro mura,William Nigh,60,Drama
417,Eden palace,Lewis Milestone,79,"Comedy, Drama"
418,La casa del boia,John Ford,80,"Drama, Romance, Thriller"
419,L'avventuriera,Robert Z. Leonard,78,"Comedy, Drama, Romance"
420,Crepuscolo di gloria,Josef von Sternberg,88,"Drama, History, Romance"
421,Ridi pagliaccio,Herbert Brenon,73,Drama
422,Lights of New York,Bryan Foy,57,"Crime, Drama, Music"
423,Le sette aquile,"George Fitzmaurice, Frank Lloyd",80,"Drama, Romance, War"
424,L'uomo che ride,Paul Leni,110,"Drama, Horror, Mystery"
425,Il teatro di Minnie,Frank Capra,66,"Comedy, Romance"
426,The Mating Call,James Cruze,72,Drama
427,La canzone della mamma,John Ford,75,Drama
428,La donna misteriosa,Fred Niblo,96,"Drama, Romance"
429,Le nostre sorelle di danza,Harry Beaumont,85,Drama
430,Fascino biondo,King Vidor,78,"Comedy, Drama, Romance"
431,Il potere della stampa,Frank Capra,62,Drama
432,The Racket,Lewis Milestone,84,"Crime, Drama, Film-Noir"
433,La danzatrice rossa,Raoul Walsh,103,"Drama, Romance"
434,Riley the Cop,John Ford,68,"Comedy, Drama"
